Sending: (('id', '120345678901234'), ('timestamp', 1761227329), ('lat', 41.97905), ('lon', -87.877835), ('speed', 32.3974), ('heading', 43))
Sending: (('id', '120345678901234'), ('timestamp', 1761227331), ('lat', 41.979156), ('lon', -87.877691), ('speed', 32.3974), ('heading', 47))
Sending: (('id', '120345678901234'), ('timestamp', 1761227333), ('lat', 41.979821), ('lon', -87.876721), ('speed', 28.0778), ('heading', 35))
Sending: (('id', '120345678901234'), ('timestamp', 1761227336), ('lat', 41.980196), ('lon', -87.876501), ('speed', 29.6976), ('heading', 11))
Sending: (('id', '120345678901234'), ('timestamp', 1761227338), ('lat', 41.980736), ('lon', -87.876538), ('speed', 28.6177), ('heading', 347))
Sending: (('id', '120345678901234'), ('timestamp', 1761227341), ('lat', 41.981551), ('lon', -87.876643), ('speed', 22.6782), ('heading', 14))
Sending: (('id', '120345678901234'), ('timestamp', 1761227343), ('lat', 41.98184), ('lon', -87.876436), ('speed', 24.2981), ('heading', 41))
Sending: (('id', '120345678901234'), ('timestamp', 1761227346), ('lat', 41.98215), ('lon', -87.87579), ('speed', 26.4579), ('heading', 61))
Sending: (('id', '120345678901234'), ('timestamp', 1761227348), ('lat', 41.982583), ('lon', -87.874468), ('speed', 27.5378), ('heading', 77))
Sending: (('id', '120345678901234'), ('timestamp', 1761227351), ('lat', 41.982621), ('lon', -87.87411), ('speed', 29.6976), ('heading', 88))
Sending: (('id', '120345678901234'), ('timestamp', 1761227353), ('lat', 41.982505), ('lon', -87.873315), ('speed', 34.0173), ('heading', 111))
Sending: (('id', '120345678901234'), ('timestamp', 1761227355), ('lat', 41.982435), ('lon', -87.873115), ('speed', 35.6372), ('heading', 118))
Sending: (('id', '120345678901234'), ('timestamp', 1761227358), ('lat', 41.98132), ('lon', -87.871145), ('speed', 39.9568), ('heading', 137))
Sending: (('id', '120345678901234'), ('timestamp', 1761227361), ('lat', 41.98103), ('lon', -87.870823), ('speed', 39.9568), ('heading', 142))
Sending: (('id', '120345678901234'), ('timestamp', 1761227363), ('lat', 41.980871), ('lon', -87.870678), ('speed', 41.5767), ('heading', 147))
Sending: (('id', '120345678901234'), ('timestamp', 1761227366), ('lat', 41.980518), ('lon', -87.870425), ('speed', 44.2765), ('heading', 153))
Sending: (('id', '120345678901234'), ('timestamp', 1761227369), ('lat', 41.979251), ('lon', -87.869986), ('speed', 48.5961), ('heading', 172))
Sending: (('id', '120345678901234'), ('timestamp', 1761227372), ('lat', 41.97714), ('lon', -87.86963), ('speed', 55.6156), ('heading', 172))
Sending: (('id', '120345678901234'), ('timestamp', 1761227374), ('lat', 41.975048), ('lon', -87.869331), ('speed', 58.3154), ('heading', 177))
Sending: (('id', '120345678901234'), ('timestamp', 1761227377), ('lat', 41.973105), ('lon', -87.869615), ('speed', 60.4752), ('heading', 192))
Sending: (('id', '120345678901234'), ('timestamp', 1761227379), ('lat', 41.972035), ('lon', -87.870078), ('speed', 59.3953), ('heading', 202))
Sending: (('id', '120345678901234'), ('timestamp', 1761227382), ('lat', 41.969325), ('lon', -87.871806), ('speed', 51.8359), ('heading', 205))
Sending: (('id', '120345678901234'), ('timestamp', 1761227384), ('lat', 41.965828), ('lon', -87.874081), ('speed', 60.4752), ('heading', 205))
Sending: (('id', '120345678901234'), ('timestamp', 1761227387), ('lat', 41.962096), ('lon', -87.876513), ('speed', 58.8553), ('heading', 206))
Sending: (('id', '120345678901234'), ('timestamp', 1761227389), ('lat', 41.958421), ('lon', -87.878928), ('speed', 57.7754), ('heading', 205))
Sending: (('id', '120345678901234'), ('timestamp', 1761227391), ('lat', 41.95491), ('lon', -87.881165), ('speed', 51.8359), ('heading', 201))
Sending: (('id', '120345678901234'), ('timestamp', 1761227394), ('lat', 41.951346), ('lon', -87.882673), ('speed', 53.9957), ('heading', 196))
Sending: (('id', '120345678901234'), ('timestamp', 1761227396), ('lat', 41.94775), ('lon', -87.884106), ('speed', 50.756), ('heading', 198))
Sending: (('id', '120345678901234'), ('timestamp', 1761227398), ('lat', 41.944986), ('lon', -87.885703), ('speed', 51.8359), ('heading', 210))
Sending: (('id', '120345678901234'), ('timestamp', 1761227401), ('lat', 41.944571), ('lon', -87.886048), ('speed', 53.4557), ('heading', 213))
Sending: (('id', '120345678901234'), ('timestamp', 1761227403), ('lat', 41.944368), ('lon', -87.886236), ('speed', 53.4557), ('heading', 215))
Sending: (('id', '120345678901234'), ('timestamp', 1761227405), ('lat', 41.943238), ('lon', -87.887513), ('speed', 53.4557), ('heading', 225))
Sending: (('id', '120345678901234'), ('timestamp', 1761227408), ('lat', 41.942408), ('lon', -87.888773), ('speed', 54.5357), ('heading', 232))
Sending: (('id', '120345678901234'), ('timestamp', 1761227410), ('lat', 41.942408), ('lon', -87.888773), ('speed', 54.5357), ('heading', 232))
Sending: (('id', '120345678901234'), ('timestamp', 1761227412), ('lat', 41.942111), ('lon', -87.889325), ('speed', 53.9957), ('heading', 236))
Sending: (('id', '120345678901234'), ('timestamp', 1761227415), ('lat', 41.941973), ('lon', -87.889608), ('speed', 53.9957), ('heading', 237))
Sending: (('id', '120345678901234'), ('timestamp', 1761227417), ('lat', 41.941716), ('lon', -87.890193), ('speed', 54.5357), ('heading', 241))
Sending: (('id', '120345678901234'), ('timestamp', 1761227419), ('lat', 41.941383), ('lon', -87.891098), ('speed', 53.4557), ('heading', 246))
Sending: (('id', '120345678901234'), ('timestamp', 1761227421), ('lat', 41.941111), ('lon', -87.892016), ('speed', 51.8359), ('heading', 251))
Sending: (('id', '120345678901234'), ('timestamp', 1761227424), ('lat', 41.940685), ('lon', -87.89413), ('speed', 49.676), ('heading', 256))
Sending: (('id', '120345678901234'), ('timestamp', 1761227426), ('lat', 41.939831), ('lon', -87.898876), ('speed', 43.1966), ('heading', 256))
Sending: (('id', '120345678901234'), ('timestamp', 1761227428), ('lat', 41.939788), ('lon', -87.899121), ('speed', 37.797), ('heading', 256))
Sending: (('id', '120345678901234'), ('timestamp', 1761227431), ('lat', 41.93929), ('lon', -87.902131), ('speed', 30.7775), ('heading', 256))
Sending: (('id', '120345678901234'), ('timestamp', 1761227433), ('lat', 41.938883), ('lon', -87.904675), ('speed', 31.8575), ('heading', 260))
Sending: (('id', '120345678901234'), ('timestamp', 1761227435), ('lat', 41.938748), ('lon', -87.905546), ('speed', 39.9568), ('heading', 257))
